One World Trade Center,New York City,541.3,94,2014,composite,office
Willis Tower,Chicago,442.1,108,1974,steel,office
Trump International Hotel & Tower,Chicago,423.2,98,2009,concrete,residential / hotel
One World Trade Center,New York City,417,110,1972,steel,office
Two World Trade Center,New York City,415.1,110,1973,steel,office
Empire State Building,New York City,381,102,1931,steel,office
Bank of America Tower,New York City,365.8,55,2009,composite,office
Stratosphere Tower,Las Vegas,350.2,,1996,concrete,telecommunications
Aon Center,Chicago,346.3,83,1973,steel,office
John Hancock Center,Chicago,343.7,100,1969,steel,residential / office
WITI TV Tower,Shorewood,329,,1962,steel,telecommunications
Chrysler Building,New York City,318.9,77,1930,steel,office
New York Times Tower,New York City,318.8,52,2007,steel,office
Bank of America Plaza,Atlanta,311.8,55,1992,composite,office
U.S. Bank Tower,Los Angeles,310.3,73,1990,steel,office
The Franklin Center - North Tower,Chicago,306.9,60,1989,composite,office
One57,New York City,306.4,75,2014,steel/concrete,residential / hotel
JPMorgan Chase Tower,Houston,305.4,75,1982,composite,office
Two Prudential Plaza,Chicago,303.3,64,1990,concrete,office
Wells Fargo Plaza,Houston,302.4,71,1983,steel,office
4 World Trade Center,New York City,297.7,65,2014,composite,office
Comcast Center,Philadelphia,296.7,57,2008,composite,office
311 South Wacker Drive,Chicago,292.9,65,1990,concrete,office
70 Pine Street,New York City,290.2,67,1932,steel,residential / hotel
Key Tower,Cleveland,288.6,57,1991,composite,office
One Liberty Place,Philadelphia,288,61,1987,steel,office
Columbia Center,Seattle,284.4,76,1984,composite,office
The Trump Building,New York City,282.5,71,1930,steel,office
Bank of America Plaza,Dallas,280.7,72,1985,composite,office
Citigroup Center,New York City,278.9,59,1977,steel,office
Williams Tower,Houston,274.6,64,1982,steel,office
Renaissance Tower,Dallas,270.1,56,1974,steel,office
Bank of America Corporate Center,Charlotte,265.5,60,1992,concrete,office
Eight Spruce Street,New York City,265.2,76,2011,concrete,residential
900 North Michigan Avenue,Chicago,265,66,1989,concrete/steel,residential / office / hotel / retail
SunTrust Plaza,Atlanta,264.3,60,1992,concrete,office
Trump World Tower,New York City,262.4,72,2001,concrete,residential
Water Tower Place,Chicago,261.9,74,1976,concrete,residential / hotel / retail
Aqua,Chicago,261.8,86,2009,concrete,residential / hotel
Aon Center,Los Angeles,261.5,62,1974,steel,office
Transamerica Pyramid,San Francisco,260,48,1972,composite,office
GE Building,New York City,259.1,70,1933,steel,office
Chase Tower,Chicago,259.1,60,1969,steel,office
Two Liberty Place,Philadelphia,258.5,58,1990,steel,residential / office
Park Tower,Chicago,257.4,68,2000,concrete,residential / hotel
Devon Energy Center,Oklahoma City,257.2,52,2012,concrete,office
U.S. Steel Tower,Pittsburgh,256.3,64,1970,steel,office
One Atlantic Center,Atlanta,249.9,50,1987,composite,office
The Legacy at Millennium Park,Chicago,249.3,73,2010,concrete,residential
Cityspire,New York City,248.1,75,1987,concrete,residential / office
One Chase Manhattan Plaza,New York City,247.8,60,1961,steel,office
4 Times Square,New York City,246.5,48,1999,steel,office
MetLife Building,New York City,246.3,59,1963,steel,office
Bloomberg Tower,New York City,245.6,54,2004,concrete/steel,residential / office
Mellon Bank Center,Philadelphia,241.4,54,1990,composite,office
Woolworth Building,New York City,241.4,57,1913,steel,office
IDS Tower,Minneapolis,241.4,55,1973,composite,office
Hancock Place,Boston,240.8,62,1976,steel,office
Four Seasons Hotel & Tower,Miami,240.4,64,2003,concrete,residential / hotel / office
Comerica Bank Tower,Dallas,239.9,60,1987,composite,office
Duke Energy Center,Charlotte,239.7,48,2010,concrete/steel,office
300 North LaSalle,Chicago,239.1,60,2009,composite,office
30 Hudson Street,Jersey City,238.1,42,2004,steel,office
Bank of America Center,Houston,237.8,56,1983,steel,office
555 California Street,San Francisco,237.4,52,1969,steel,office
1 Worldwide Plaza,New York City,237.1,47,1989,steel,office
Capella Tower,Minneapolis,236.5,56,1992,composite,office
Wells Fargo Center,Minneapolis,236.3,56,1988,composite,office
1201 Third Avenue Tower,Seattle,235.3,55,1988,steel,office
191 Peachtree Tower,Atlanta,234.7,50,1992,composite,office
