year fall start_date end_date aug_days sep_days oct_days nov_days dec_days jan_days feb_days mar_days apr_days may_days total_days total_snow
2000-2001 2000 8/10/2000 6/6/2001 0 0 0 0 2 4 2 6 0 0 14 32.8
2001-2002 2001 8/9/2001 5/28/2002 0 0 0 0 0 3 4 0 0 0 7 3.6
2002-2003 2002 8/8/2001 6/6/2003 0 0 0 0 3 7 6 1 0 0 17 19.6
2003-2004 2003 8/7/2003 6/17/2004 0 0 0 1 5 6 6 0 0 0 18 39.5
2004-2005 2004 8/12/2001 6/7/2005 0 4 0 0 3 1 4 3 0 0 15 25.9
2005-2006 2005 8/11/2005 6/1/2006 0 0 0 0 5 2 2 1 0 0 10 17.7
2006-2007 2006 8/10/2006 5/29/2007 0 0 0 0 1 2 2 0 1 0 6 15.2
2007-2008 2007 8/9/2007 5/28/2008 0 0 0 0 2 1 3 0 0 0 6 10.3
2008-2009 2008 8/7/2008 6/8/2009 0 0 1 2 2 4 6 2 1 0 18 23.5
2009-2010 2009 8/12/2009 6/4/2010 0 0 0 0 3 8 13 2 0 0 26 60.1
2010-2011 2010 8/11/2010 6/5/2011 0 0 0 0 10 10 1 1 0 0 22 48
2011-2012 2011 8/10/2011 5/25/2012 0 0 0 0 1 2 1 1 0 0 5 13.7
2012-2013 2012 8/8/2012 6/12/2013 0 0 2 0 0 4 6 7 0 1 20 36.1
2013-2014 2013 8/19/2013 6/12/2014 0 0 0 2 0 9 3 4 0 0 18 37.8
2014-2015 2014 8/19/2014 6/12/2015 0 0 0 1 0 5 11 0 0 0 17 27.7
2015-2016 2015 8/18/2015 6/10/2016 0 0 0 0 0 4 9 1 0 0 14 25.1
2016-2017 2016 8/22/2016 6/1/2017 0 0 0 0 0 3 2 2 0 0 7 16.6
2017-2018 2017 8/21/2017 6/8/2018 0 0 0 0 4 7 2 7 0 0 20 37.2
2018-2019 2018 8/20/2018 6/12/2019 0 1 0 4 6 1 1 1 0 0 14 31.5
2019-2020 2019 8/19/2019 5/29/2020 0 0 0 1 3 2 5 1 0 0 12 9.1
2020-2021 2020 8/17/2020 5/26/2021 0 0 0 0 1 0 2 0 0 0 3 25.8
2021-2022 2021 8/16/2020 5/26/2021 0 0 0 0 0 2 0 0 0 0 2 21.7
